firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,,,,,,,,,,,,,,,,,,,,,,1
1634,ダイワ上場投信・ＴＯＰＩＸ－１７　食品,,,,,,,,,,,,,,,,,,,,,,1
1635,ダイワ上場投信・ＴＯＰＩＸ－１７　エネルギー資源,,,,,,,,,,,,,,,,,,,,,,1
1636,ダイワ上場投信・ＴＯＰＩＸ－１７　建設・資材,,,,,,,,,,,,,,,,,,,,,,1
1637,ダイワ上場投信・ＴＯＰＩＸ－１７　素材・化学,,,,,,,,,,,,,,,,,,,,,,1
1638,ダイワ上場投信・ＴＯＰＩＸ－１７　医薬品,,,,,,,,,,,,,,,,,,,,,,1
1639,ダイワ上場投信・ＴＯＰＩＸ－１７　自動車・輸送機,,,,,,,,,,,,,,,,,,,,,,1
1640,ダイワ上場投信・ＴＯＰＩＸ－１７　鉄鋼・非鉄,,,,,,,,,,,,,,,,,,,,,,1
1641,ダイワ上場投信・ＴＯＰＩＸ－１７　機械,,,,,,,,,,,,,,,,,,,,,,1
1642,ダイワ上場投信・ＴＯＰＩＸ－１７　電機・精密,,,,,,,,,,,,,,,,,,,,,,1
1643,ダイワ上場投信・ＴＯＰＩＸ－１７　情報通信・サービスその他,,,,,,,,,,,,,,,,,,,,,,1
1644,ダイワ上場投信・ＴＯＰＩＸ－１７　電力・ガス,,,,,,,,,,,,,,,,,,,,,,1
1645,ダイワ上場投信・ＴＯＰＩＸ－１７　運輸・物流,,,,,,,,,,,,,,,,,,,,,,1
